title,price,registration,location,benzin,mileage,power,gefunden
Kia Cee'd Ceed / Ceed 1.4 TGDI AT Spirit|Navi|Totwinkel|LED Autom.,18.600 €,EZ 07/2021,74321 Bietigheim-Bissingen,"Benzin, ca. 5,7 l/100 km (komb.)* , ca. 129 g CO₂/km (komb.)* , B",72.487 km,ca. 103 kW (140PS),gefunden auf autoscout24.de
Seat Leon 2.0 TSI DSG Cupra 300 NAVI WINTER ACC ABS,19.960 €,EZ 05/2017,73460 Hüttlingen,"Benzin, ca. 6,8 l/100 km (komb.)* , ca. 156 g CO₂/km (komb.)* , D",125.129 km,ca. 221 kW (300PS),gefunden auf autoscout24.de
BMW 745 e Aut. - 1 Hand - LED - M Sportpaket ///,58.490 €,EZ 06/2021,52222 Stolberg,"Andere, ca. 2,1 l/100 km (komb.)* , ca. 49 g CO₂/km (komb.)* ",49.500 km,ca. 210 kW (286PS),gefunden auf autoscout24.de
Citroën Berlingo Citroen *SHINE*1HAND-EU6-PDC-LED-KINDERPAKET-,10.648 €,EZ 06/2016,41063 Mönchengladbach,"Benzin, ca. 5,1 l/100 km (komb.)* , ca. 119 g CO₂/km (komb.)* ",149.558 km,ca. 81 kW (110PS),gefunden auf autoscout24.de
BMW 320 d Gran Turismo NaviProf Head-Up ACC,23.803 €,EZ 12/2018,33775 Versmold,"Diesel, ca. 5,0 l/100 km (komb.)* , ca. 131 g CO₂/km (komb.)* ",90.100 km,ca. 140 kW (190PS),gefunden auf autoscout24.de
Opel Astra 1.2 Turbo Enjoy,22.990 €,EZ 06/2023,07749 Jena,"Benzin, ca. 5,8 l/100 km (komb.)* , ca. 130 g CO₂/km (komb.)* ",5.000 km,ca. 81 kW (110PS),gefunden auf autoscout24.de
VW T-Cross Volkswagen R-LINE 1.0 TSI NAVI LED PDC SHZ,22.800 €,EZ 05/2023,55469 Simmern,"Benzin, ca. 5,9 l/100 km (komb.)* , ca. 134 g CO₂/km (komb.)* ",11.021 km,ca. 81 kW (110PS),gefunden auf autoscout24.de
"Mazda 3 FB 2.0l X ""Selection"" Automatik M Hybrid *DES-P*PR",29.990 €,EZ 03/2023,13599 Berlin,"Andere, ca. 5,4 l/100 km (komb.)* , ca. 121 g CO₂/km (komb.)* , A",4.294 km,ca. 137 kW (186PS),gefunden auf autoscout24.de
VW Golf Volkswagen Plus VI Style,7.950 €,EZ 04/2011,48282 Emsdetten,"Benzin, ca. 6,5 l/100 km (komb.)* , ca. 152 g CO₂/km (komb.)* ",109.500 km,ca. 90 kW (122PS),gefunden auf autoscout24.de
VW Golf Volkswagen VIII 2.0 GTI LM17 NAVI SPORTFAHRWERK DAB+,27.222 €,EZ 06/2021,59192 Bergkamen,"Benzin, ca. 7,3 l/100 km (komb.)* , ca. 166 g CO₂/km (komb.)* ",28.567 km,ca. 180 kW (245PS),gefunden auf autoscout24.de
Ford Focus Champions Edition 8-fach bereift Klima PDC,6.750 €,EZ 01/2013,72351 Geislingen Binsdorf,"Benzin, ca. 4,7 l/100 km (komb.)* , ca. 111 g CO₂/km (komb.)* ",101.900 km,ca. 74 kW (101PS),gefunden auf autoscout24.de
Fiat Punto EVO 1.2 8V Pop Start,4.590 €,EZ 03/2012,53424 Remagen,"Benzin, ca. 5,2 l/100 km (komb.)* , ca. 123 g CO₂/km (komb.)* ",108.000 km,ca. 51 kW (69PS),gefunden auf autoscout24.de
BMW 750Li 750 *Navi*Schiebedach*Xenon*Rückfahrkamera*,8.990 €,EZ 11/2011,45473 Mülheim,"Benzin, ca. 11,4 l/100 km (komb.)* , ca. 266 g CO₂/km (komb.)* , A+",157.000 km,ca. 300 kW (408PS),gefunden auf autoscout24.de
BMW 116i 116,1.850 €,EZ 01/2009,06112 Halle,"Benzin, ca. 5,8 l/100 km (komb.)* , ca. 139 g CO₂/km (komb.)* ",233.303 km,ca. 90 kW (122PS),gefunden auf autoscout24.de
